1 0 804
2 804 1107
3 1911 2950
4 4861 4416
5 9277 9700
6 18977 2215
7 21192 3174
8 24366 2119
9 26485 2298
10 28783 26855
11 55638 1914
12 57552 1794
13 59346 5361
14 64707 5452
15 70159 2520
16 72679 3415
17 76094 4800
18 80894 3750
19 84644 3384
20 88028 15424
21 103452 4156
22 107608 3598
23 111206 10180
24 121386 1697
25 123083 1520
26 124603 5867
27 130470 10919
28 141389 5230
29 146619 3861
30 150480 2217
31 152697 1334
32 154031 692
33 154723 1554
34 156277 4647
35 160924 2757
36 163681 1971
37 165652 8760
38 174412 6256
39 180668 5196
40 185864 1988
41 187852 6489
42 194341 2988
43 197329 2954
44 200283 7492
45 207775 1716
46 209491 2051
47 211542 2605
48 214147 1720
49 215867 1627
50 217494 10840
51 228334 7593
52 235927 3390
53 239317 3063
54 242380 1923
55 244303 5586
56 249889 8173
57 258062 3218
58 261280 607
59 261887 3671
60 265558 5109
61 270667 6936
62 277603 948
63 278551 2389
64 280940 4361
65 285301 3579
66 288880 2919
67 291799 5652
68 297451 5115
69 302566 7327
70 309893 1152
71 311045 3953
72 314998 1372
73 316370 7346
74 323716 3311
75 327027 4400
76 331427 4883
77 336310 2364
78 338674 6061
79 344735 2302
80 347037 1734
81 348771 15258
82 364029 9325
83 373354 5423
84 378777 1399
85 380176 5670
86 385846 1415
87 387261 4660
88 391921 4613
89 396534 9735
90 406269 1753
91 408022 3490
92 411512 15722
93 427234 9623
94 436857 3935
95 440792 7873
96 448665 13797
97 462462 3815
98 466277 14116
99 480393 5429
100 485822 1609
101 487431 3079
102 490510 1189
103 491699 603
104 492302 1531
105 493833 1655
106 495488 1589
107 497077 8840
108 505917 7749
109 513666 4461
110 518127 2949
111 521076 632
112 521708 7714
113 529422 4051
114 533473 12378
115 545851 4893
116 550744 2551
117 553295 3928
118 557223 6260
119 563483 2648
120 566131 330
121 566461 2358
122 568819 3861
123 572680 2828
124 575508 13509
125 589017 7880
126 596897 1937
127 598834 2809
128 601643 1960
129 603603 1878
130 605481 3484
131 608965 2239
132 611204 3057
133 614261 2019
134 616280 1857
135 618137 2219
136 620356 2945
137 623301 2864
138 626165 1958
139 628123 2606
140 630729 3331
141 634060 2197
142 636257 1938
143 638195 1801
144 639996 2113
145 642109 4482
146 646591 3908
147 650499 3790
148 654289 3001
149 657290 2481
150 659771 2596
151 662367 2361
152 664728 2402
153 667130 345
154 667475 5853
155 673328 9916
156 683244 2822
157 686066 992
158 687058 4453
159 691511 7155
160 698666 330
161 698996 3193
162 702189 2676
163 704865 2408
164 707273 2627
165 709900 3571
166 713471 4358
167 717829 2609
168 720438 4984
169 725422 2746
170 728168 8221
171 736389 2765
172 739154 6272
173 745426 2462
174 747888 1246
175 749134 17742
176 766876 9807
177 776683 2965
178 779648 3253
179 782901 5876
180 788777 3477
181 792254 1967
182 794221 3073
183 797294 4488
184 801782 4340
185 806122 3716
186 809838 3000
187 812838 24419
188 837257 11259
189 848516 16237
190 864753 30544
191 895297 3791
192 899088 3761
193 902849 1654
194 904503 2705
195 907208 2690
196 909898 535
197 910433 4148
198 914581 6062
199 920643 1753
200 922396 3576
201 925972 2463
202 928435 6014
203 934449 5755
204 940204 7740
205 947944 4929
206 952873 924
207 953797 1286
208 955083 2046
209 957129 4064
210 961193 3502
211 964695 621
212 965316 4050
213 969366 2906
214 972272 2855
215 975127 3494
216 978621 5591
217 984212 4628
218 988840 5075
219 993915 2718
220 996633 9106
221 1005739 9343
222 1015082 5537
223 1020619 2039
224 1022658 7341
225 1029999 3489
226 1033488 3738
227 1037226 2591
228 1039817 8330
229 1048147 1323
230 1049470 1895
231 1051365 3091
232 1054456 4523
233 1058979 2037
234 1061016 1220
235 1062236 1234
236 1063470 5268
237 1068738 2796
238 1071534 4025
239 1075559 1155
240 1076714 2035
241 1078749 2160
242 1080909 1352
243 1082261 2905
244 1085166 1601
245 1086767 5315
246 1092082 760
247 1092842 553
248 1093395 883
249 1094278 693
250 1094971 555
251 1095526 591
252 1096117 1362
253 1097479 3529
254 1101008 3740
255 1104748 535
256 1105283 2095
257 1107378 1353
258 1108731 3381
259 1112112 6234
260 1118346 3264
261 1121610 5319
262 1126929 3025
263 1129954 3808
264 1133762 3281
265 1137043 3058
266 1140101 2121
267 1142222 1955
268 1144177 3217
269 1147394 3797
270 1151191 1956
271 1153147 2186
272 1155333 3810
273 1159143 3633
274 1162776 11076
275 1173852 10031
276 1183883 2069
277 1185952 3833
278 1189785 3443
279 1193228 4217
280 1197445 1535
281 1198980 1475
282 1200455 2368
283 1202823 1967
284 1204790 3107
285 1207897 2772
286 1210669 2401
287 1213070 5593
288 1218663 2565
289 1221228 8516
290 1229744 7331
291 1237075 2431
292 1239506 1481
293 1240987 1658
294 1242645 2689
295 1245334 2595
296 1247929 2268
297 1250197 3077
298 1253274 2090
299 1255364 3002
300 1258366 6880
301 1265246 6364
302 1271610 6846
303 1278456 6709
304 1285165 3958
305 1289123 8041
306 1297164 7709
307 1304873 3133
308 1308006 1817
309 1309823 2996
310 1312819 1624
311 1314443 3042
312 1317485 3454
313 1320939 1873
314 1322812 1545
315 1324357 4768
316 1329125 1755
317 1330880 1538
318 1332418 2478
319 1334896 3633
320 1338529 2080
321 1340609 1478
322 1342087 2820
323 1344907 7776
324 1352683 3343
325 1356026 3618
326 1359644 8877
327 1368521 3746
328 1372267 2826
329 1375093 2212
330 1377305 3564
331 1380869 3506
332 1384375 2087
333 1386462 1602
334 1388064 1811
335 1389875 6348
336 1396223 3207
337 1399430 2250
338 1401680 1873
339 1403553 3425
340 1406978 2015
341 1408993 4138
342 1413131 2727
343 1415858 3760
344 1419618 1766
345 1421384 1550
346 1422934 1543
347 1424477 1635
348 1426112 3631
349 1429743 2737
350 1432480 3972
351 1436452 2391
352 1438843 2407
353 1441250 2589
354 1443839 2387
355 1446226 2499
356 1448725 21978
357 1470703 3214
358 1473917 3604
359 1477521 6312
360 1483833 3100
361 1486933 3310
362 1490243 3421
363 1493664 5203
364 1498867 1621
365 1500488 2602
366 1503090 3426
367 1506516 2463
368 1508979 1096
369 1510075 2373
370 1512448 5086
371 1517534 4221
372 1521755 3027
373 1524782 3784
374 1528566 2651
375 1531217 5422
376 1536639 2539
377 1539178 3789
378 1542967 1113
379 1544080 5300
